,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
0,LP001032,Male,No,0,Graduate,No,4950,0.0,125,360,1,Urban
1,LP001824,Male,Yes,1,Graduate,No,2882,1843.0,123,480,1,Semiurban
2,LP002928,Male,Yes,0,Graduate,No,3000,3416.0,56,180,1,Semiurban
3,LP001814,Male,Yes,2,Graduate,No,9703,0.0,112,360,1,Urban
4,LP002244,Male,Yes,0,Graduate,No,2333,2417.0,136,360,1,Urban
5,LP001854,Male,Yes,3+,Graduate,No,5250,0.0,94,360,1,Urban
6,LP002505,Male,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban
7,LP002862,Male,Yes,2,Not Graduate,No,6125,1625.0,187,480,1,Semiurban
8,LP001630,Male,No,0,Not Graduate,No,2333,1451.0,102,480,0,Urban
9,LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93,360,0,Urban
10,LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114,360,1,Semiurban
11,LP002149,Male,Yes,2,Graduate,No,8333,3167.0,165,360,1,Rural
12,LP002472,Male,No,2,Graduate,No,4354,0.0,136,360,1,Rural
13,LP001647,Male,Yes,0,Graduate,No,9328,0.0,188,180,1,Rural
14,LP001871,Female,No,0,Graduate,No,7200,0.0,120,360,1,Rural
15,LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216,360,0,Urban
16,LP002789,Male,Yes,0,Graduate,No,3593,4266.0,132,180,0,Rural
17,LP002842,Male,Yes,1,Graduate,No,3417,1750.0,186,360,1,Urban
18,LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88,360,1,Urban
19,LP002031,Male,Yes,1,Not Graduate,No,3399,1640.0,111,180,1,Urban
20,LP001578,Male,Yes,0,Graduate,No,2439,3333.0,129,360,1,Rural
21,LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188,180,1,Semiurban
22,LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110,360,1,Urban
23,LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182,360,1,Semiurban
24,LP001327,Female,Yes,0,Graduate,No,2484,2302.0,137,360,1,Semiurban
25,LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,240,360,1,Urban
26,LP002990,Female,No,0,Graduate,Yes,4583,0.0,133,360,0,Semiurban
27,LP001811,Male,Yes,0,Not Graduate,No,3406,4417.0,123,360,1,Semiurban
28,LP001891,Male,Yes,0,Graduate,No,11146,0.0,136,360,1,Urban
29,LP002953,Male,Yes,3+,Graduate,No,5703,0.0,128,360,1,Urban
30,LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349,360,1,Semiurban
31,LP001144,Male,Yes,0,Graduate,No,5821,0.0,144,360,1,Urban
32,LP002429,Male,Yes,1,Graduate,Yes,3466,1210.0,130,360,1,Rural
33,LP002138,Male,Yes,0,Graduate,No,2625,6250.0,187,360,1,Rural
34,LP001720,Male,Yes,3+,Not Graduate,No,3850,983.0,100,360,1,Semiurban
35,LP002341,Female,No,1,Graduate,No,2600,0.0,160,360,1,Urban
36,LP002626,Male,Yes,0,Graduate,Yes,2479,3013.0,188,360,1,Urban
37,LP002229,Male,No,0,Graduate,No,5941,4232.0,296,360,1,Semiurban
38,LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96,360,1,Semiurban
39,LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97,360,1,Semiurban
40,LP002115,Male,Yes,3+,Not Graduate,No,2647,1587.0,173,360,1,Rural
41,LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225,360,1,Urban
42,LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185,360,1,Rural
43,LP002807,Male,Yes,2,Not Graduate,No,3675,242.0,108,360,1,Semiurban
44,LP001633,Male,Yes,1,Graduate,No,6400,7250.0,180,360,0,Urban
45,LP001877,Male,Yes,2,Graduate,No,4708,1387.0,150,360,1,Semiurban
46,LP002690,Male,No,0,Graduate,No,2500,0.0,55,360,1,Semiurban
47,LP001924,Male,No,0,Graduate,No,3158,3053.0,89,360,1,Rural
48,LP002390,Male,No,0,Graduate,No,3750,0.0,100,360,1,Urban
49,LP002541,Male,Yes,0,Graduate,No,10833,0.0,234,360,1,Semiurban
50,LP001473,Male,No,0,Graduate,No,2014,1929.0,74,360,1,Urban
51,LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66,360,1,Urban
52,LP001882,Male,Yes,3+,Graduate,No,4333,1811.0,160,360,0,Urban
53,LP001925,Female,No,0,Graduate,Yes,2600,1717.0,99,300,1,Semiurban
54,LP001896,Male,Yes,2,Graduate,No,3900,0.0,90,360,1,Semiurban
55,LP001888,Female,No,0,Graduate,No,3237,0.0,30,360,1,Urban
56,LP002545,Male,No,2,Graduate,No,3547,0.0,80,360,0,Rural
57,LP002408,Male,No,0,Graduate,No,3660,5064.0,187,360,1,Semiurban
58,LP001255,Male,No,0,Graduate,No,3750,0.0,113,480,1,Urban
59,LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17,120,1,Urban
60,LP001792,Male,Yes,1,Graduate,No,3315,0.0,96,360,1,Semiurban
61,LP002556,Male,No,0,Graduate,No,2435,0.0,75,360,1,Urban
62,LP002366,Male,Yes,0,Graduate,No,2666,4300.0,121,360,1,Rural
63,LP002201,Male,Yes,2,Graduate,Yes,9323,7873.0,380,300,1,Rural
64,LP001699,Male,No,0,Graduate,No,2479,0.0,59,360,1,Urban
65,LP001931,Female,No,0,Graduate,No,4124,0.0,115,360,1,Semiurban
66,LP002874,Male,No,0,Graduate,No,3229,2739.0,110,360,1,Urban
67,LP002936,Male,Yes,0,Graduate,No,3859,3300.0,142,180,1,Rural
68,LP001577,Female,Yes,0,Graduate,No,4583,0.0,112,360,1,Rural
69,LP002544,Male,Yes,1,Not Graduate,No,1958,2436.0,131,360,1,Rural
70,LP001157,Female,No,0,Graduate,No,3086,0.0,120,360,1,Semiurban
71,LP002170,Male,Yes,2,Graduate,No,5000,3667.0,236,360,1,Semiurban
72,LP001859,Male,Yes,0,Graduate,No,14683,2100.0,304,360,1,Rural
73,LP002840,Female,No,0,Graduate,No,2378,0.0,9,360,1,Urban
74,LP002342,Male,Yes,2,Graduate,Yes,1600,20000.0,239,360,1,Urban
75,LP001432,Male,Yes,2,Graduate,No,2957,0.0,81,360,1,Semiurban
76,LP002792,Male,Yes,1,Graduate,No,5468,1032.0,26,360,1,Semiurban
77,LP002689,Male,Yes,2,Not Graduate,No,2192,1742.0,45,360,1,Semiurban
78,LP001974,Female,No,0,Graduate,No,5000,0.0,132,360,1,Rural
79,LP002255,Male,No,3+,Graduate,No,9167,0.0,185,360,1,Rural
80,LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154,360,1,Semiurban
81,LP002938,Male,Yes,0,Graduate,Yes,16120,0.0,260,360,1,Urban
82,LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30,360,1,Urban
83,LP002734,Male,Yes,0,Graduate,No,6133,3906.0,324,360,1,Urban
84,LP002940,Male,No,0,Not Graduate,No,3833,0.0,110,360,1,Rural
85,LP001807,Male,Yes,2,Graduate,Yes,6250,1300.0,108,360,1,Rural
86,LP002403,Male,No,0,Graduate,Yes,10416,0.0,187,360,0,Urban
87,LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144,360,1,Urban
88,LP002683,Male,No,0,Graduate,No,4683,1915.0,185,360,1,Semiurban
89,LP001910,Male,No,1,Not Graduate,Yes,4053,2426.0,158,360,0,Urban
90,LP001493,Male,Yes,2,Not Graduate,No,4200,1430.0,129,360,1,Rural
91,LP002262,Male,Yes,3+,Graduate,No,9504,0.0,275,360,1,Rural
92,LP001579,Male,No,0,Graduate,No,2237,0.0,63,480,0,Semiurban
93,LP002714,Male,No,1,Not Graduate,No,2679,1302.0,94,360,1,Semiurban
94,LP002190,Male,Yes,1,Graduate,No,6325,0.0,175,360,1,Semiurban
95,LP001800,Male,Yes,1,Not Graduate,No,2510,1983.0,140,180,1,Urban
96,LP001487,Male,No,0,Graduate,No,4895,0.0,102,360,1,Semiurban
97,LP002317,Male,Yes,3+,Graduate,No,81000,0.0,360,360,0,Rural
98,LP002603,Female,No,0,Graduate,No,645,3683.0,113,480,1,Rural
99,LP002082,Male,Yes,0,Graduate,Yes,5818,2160.0,184,360,1,Semiurban
100,LP002487,Male,Yes,0,Graduate,No,3015,2188.0,153,360,1,Rural
101,LP002434,Male,Yes,2,Not Graduate,No,4652,0.0,110,360,1,Rural
102,LP002959,Female,Yes,1,Graduate,No,12000,0.0,496,360,1,Semiurban
103,LP002287,Female,No,0,Graduate,No,1500,1800.0,103,360,0,Semiurban
104,LP002379,Male,No,0,Graduate,No,6500,0.0,105,360,0,Rural
105,LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100,360,1,Semiurban
106,LP001610,Male,Yes,3+,Graduate,No,5516,11300.0,495,360,0,Semiurban
107,LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104,360,0,Urban
108,LP002348,Male,Yes,0,Graduate,No,5829,0.0,138,360,1,Rural
109,LP001904,Male,Yes,0,Graduate,No,3103,1300.0,80,360,1,Urban
110,LP001430,Female,No,0,Graduate,No,4166,0.0,44,360,1,Semiurban
111,LP002821,Male,No,0,Not Graduate,Yes,5800,0.0,132,360,1,Semiurban
112,LP002387,Male,Yes,0,Graduate,No,2425,2340.0,143,360,1,Semiurban
113,LP002979,Male,Yes,3+,Graduate,No,4106,0.0,40,180,1,Rural
114,LP001692,Female,No,0,Not Graduate,No,4408,0.0,120,360,1,Semiurban
115,LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167,360,1,Urban
116,LP002586,Female,Yes,1,Graduate,No,3326,913.0,105,84,1,Semiurban
117,LP001489,Female,Yes,0,Graduate,No,4583,0.0,84,360,1,Rural
118,LP002634,Female,No,1,Graduate,No,13262,0.0,40,360,1,Urban
119,LP002893,Male,No,0,Graduate,No,1836,33837.0,90,360,1,Urban
120,LP001868,Male,No,0,Graduate,No,2060,2209.0,134,360,1,Semiurban
121,LP001164,Female,No,0,Graduate,No,4230,0.0,112,360,1,Semiurban
122,LP002813,Female,Yes,1,Graduate,Yes,19484,0.0,600,360,1,Semiurban
123,LP002517,Male,Yes,1,Not Graduate,No,2653,1500.0,113,180,0,Rural
124,LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315,360,1,Urban
125,LP002582,Female,No,0,Not Graduate,Yes,17263,0.0,225,360,1,Semiurban
126,LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131,360,1,Semiurban
127,LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0.0,130,360,1,Rural
128,LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122,360,1,Semiurban
129,LP002119,Male,Yes,1,Not Graduate,No,4554,1229.0,158,360,1,Urban
130,LP002151,Male,Yes,1,Graduate,No,3875,0.0,67,360,1,Urban
131,LP002337,Female,No,0,Graduate,No,2995,0.0,60,360,1,Urban
132,LP001653,Male,No,0,Not Graduate,No,4885,0.0,48,360,1,Rural
133,LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,120,360,1,Semiurban
134,LP002315,Male,Yes,1,Graduate,No,8300,0.0,152,300,0,Semiurban
135,LP002693,Male,Yes,2,Graduate,Yes,7948,7166.0,480,360,1,Rural
136,LP002129,Male,Yes,0,Graduate,No,2499,2458.0,160,360,1,Semiurban
137,LP001722,Male,Yes,0,Graduate,No,150,1800.0,135,360,1,Rural
138,LP002067,Male,Yes,1,Graduate,Yes,8666,4983.0,376,360,0,Rural
139,LP002836,Male,No,0,Graduate,No,3333,0.0,70,360,1,Urban
140,LP002659,Male,Yes,3+,Graduate,No,3466,3428.0,150,360,1,Rural
141,LP002314,Female,No,0,Not Graduate,No,2213,0.0,66,360,1,Rural
142,LP001940,Male,Yes,2,Graduate,No,3153,1560.0,134,360,1,Urban
143,LP001289,Male,No,0,Graduate,No,8566,0.0,210,360,1,Urban
144,LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban
145,LP002519,Male,Yes,3+,Graduate,No,4691,0.0,100,360,1,Semiurban
146,LP002191,Male,Yes,0,Graduate,No,19730,5266.0,570,360,1,Rural
147,LP002301,Female,No,0,Graduate,Yes,7441,0.0,194,360,1,Rural
148,LP002006,Female,No,0,Graduate,No,2507,0.0,56,360,1,Rural
149,LP002236,Male,Yes,2,Graduate,No,4566,0.0,100,360,1,Urban
150,LP002931,Male,Yes,2,Graduate,Yes,6000,0.0,205,240,1,Semiurban
151,LP002945,Male,Yes,0,Graduate,Yes,9963,0.0,180,360,1,Rural
152,LP002266,Male,Yes,2,Graduate,No,3100,1400.0,113,360,1,Urban
153,LP001519,Female,No,0,Graduate,No,10000,1666.0,225,360,1,Rural
154,LP002051,Male,Yes,0,Graduate,No,2400,2167.0,115,360,1,Semiurban
155,LP001784,Male,Yes,1,Graduate,No,5500,1260.0,170,360,1,Rural
156,LP002837,Male,Yes,3+,Graduate,No,3400,2500.0,123,360,0,Rural
157,LP002615,Male,Yes,2,Graduate,No,4865,5624.0,208,360,1,Semiurban
158,LP002446,Male,Yes,2,Not Graduate,No,2309,1255.0,125,360,0,Rural
159,LP002205,Male,No,1,Graduate,No,3062,1987.0,111,180,0,Urban
160,LP001798,Male,Yes,2,Graduate,No,5819,5000.0,120,360,1,Rural
161,LP002493,Male,No,0,Graduate,No,4166,0.0,98,360,0,Semiurban
162,LP001586,Male,Yes,3+,Not Graduate,No,3522,0.0,81,180,1,Rural
163,LP002692,Male,Yes,3+,Graduate,Yes,5677,1424.0,100,360,1,Rural
164,LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210,360,1,Semiurban
165,LP002180,Male,No,0,Graduate,Yes,6822,0.0,141,360,1,Rural
166,LP002398,Male,No,0,Graduate,No,1926,1851.0,50,360,1,Semiurban
167,LP002494,Male,No,0,Graduate,No,6000,0.0,140,360,1,Rural
168,LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191,360,1,Semiurban
169,LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99,360,1,Urban
170,LP002139,Male,Yes,0,Graduate,No,9083,0.0,228,360,1,Semiurban
171,LP002755,Male,Yes,1,Not Graduate,No,2239,2524.0,128,360,1,Urban
172,LP002772,Male,No,0,Graduate,No,2526,1783.0,145,360,1,Rural
173,LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,152,360,1,Rural
174,LP002370,Male,No,0,Not Graduate,No,2717,0.0,60,180,1,Urban
175,LP001954,Female,Yes,1,Graduate,No,4666,0.0,135,360,1,Urban
176,LP002916,Male,Yes,0,Graduate,No,2297,1522.0,104,360,1,Urban
177,LP002571,Male,No,0,Not Graduate,No,3691,0.0,110,360,1,Rural
178,LP002004,Male,No,0,Not Graduate,No,2927,2405.0,111,360,1,Semiurban
179,LP002250,Male,Yes,0,Graduate,No,5488,0.0,125,360,1,Rural
180,LP001516,Female,Yes,2,Graduate,No,14866,0.0,70,360,1,Urban
181,LP002863,Male,Yes,3+,Graduate,No,6406,0.0,150,360,1,Semiurban
182,LP002265,Male,Yes,2,Not Graduate,No,1993,1625.0,113,180,1,Semiurban
183,LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100,360,1,Semiurban
184,LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,113,360,1,Rural
185,LP002158,Male,Yes,0,Not Graduate,No,3000,1666.0,100,480,0,Urban
186,LP001947,Male,Yes,0,Graduate,No,2383,3334.0,172,360,1,Semiurban
187,LP001095,Male,No,0,Graduate,No,3167,0.0,74,360,1,Urban
188,LP002087,Female,No,0,Graduate,No,2500,0.0,67,360,1,Urban
189,LP001422,Female,No,0,Graduate,No,10408,0.0,259,360,1,Urban
190,LP001114,Male,No,0,Graduate,No,4166,7210.0,184,360,1,Urban
191,LP001146,Female,Yes,0,Graduate,No,2645,3440.0,120,360,0,Urban
192,LP002743,Female,No,0,Graduate,No,2138,0.0,99,360,0,Semiurban
193,LP002798,Male,Yes,0,Graduate,No,3887,2669.0,162,360,1,Semiurban
194,LP002377,Female,No,1,Graduate,Yes,8624,0.0,150,360,1,Semiurban
195,LP001761,Male,No,0,Graduate,Yes,6400,0.0,200,360,1,Rural
196,LP001349,Male,No,0,Graduate,No,4843,3806.0,151,360,1,Semiurban
197,LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97,360,1,Semiurban
198,LP002648,Male,Yes,0,Graduate,No,2130,6666.0,70,180,1,Semiurban
199,LP001543,Male,Yes,1,Graduate,No,9538,0.0,187,360,1,Urban
200,LP001100,Male,No,3+,Graduate,No,12500,3000.0,320,360,1,Rural
201,LP001993,Female,No,0,Graduate,No,3762,1666.0,135,360,1,Rural
202,LP002606,Female,No,0,Graduate,No,3159,0.0,100,360,1,Semiurban
203,LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267,360,1,Urban
204,LP001333,Male,Yes,0,Graduate,No,1977,997.0,50,360,1,Semiurban
205,LP002738,Male,No,2,Graduate,No,3617,0.0,107,360,1,Semiurban
206,LP002181,Male,No,0,Not Graduate,No,6216,0.0,133,360,1,Rural
207,LP001606,Male,Yes,0,Graduate,No,3497,1964.0,116,360,1,Rural
208,LP001903,Male,Yes,0,Graduate,No,3993,3274.0,207,360,1,Semiurban
